dataset,run_tag,feature_mode,delan_id,lstm_id,run_dir,split,H,delan_mse,delan_rmse,res_mse,res_rmse,rg_mse,rg_rmse,delan_joint_rmse_0,res_joint_rmse_0,rg_joint_rmse_0,delan_joint_rmse_1,res_joint_rmse_1,rg_joint_rmse_1,delan_joint_rmse_2,res_joint_rmse_2,rg_joint_rmse_2,delan_joint_rmse_3,res_joint_rmse_3,rg_joint_rmse_3,delan_joint_rmse_4,res_joint_rmse_4,rg_joint_rmse_4,delan_joint_rmse_5,res_joint_rmse_5,rg_joint_rmse_5,metrics_path,backend,gain,gain_ratio,feature_backend,joint_gain_0,joint_gain_ratio_0,joint_gain_1,joint_gain_ratio_1,joint_gain_2,joint_gain_ratio_2,joint_gain_3,joint_gain_ratio_3,joint_gain_4,joint_gain_ratio_4,joint_gain_5,joint_gain_ratio_5
delan_UR3_Load0_combined_26,A,,jax_struct_s1_ep300,s2_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_state_tauhat__lstm_s2_H25_ep80_b256_u128_do0p1,test,25,0.2117203027009964,0.4601307511329651,0.1062210351228714,0.32591569423675537,0.1062210351228714,0.32591569423675537,0.4954034090042114,0.35952022671699524,0.35952016711235046,0.7314524054527283,0.489489883184433,0.48948991298675537,0.41204527020454407,0.2799101173877716,0.2799100875854492,0.3247774541378021,0.23921500146389008,0.23921498656272888,0.32837316393852234,0.25348857045173645,0.25348857045173645,0.326773077249527,0.26199182868003845,0.26199182868003845,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_state_tauhat__lstm_s2_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.13421505689620972,0.7083110473148418,None|jax,0.13588324189186096,0.725711936126976,0.2419624924659729,0.6692026840540478,0.13213518261909485,0.6793187735087909,0.08556246757507324,0.7365504702220822,0.07488459348678589,0.7719527607292364,0.06478124856948853,0.8017546331700364
delan_UR3_Load0_combined_26,A,,jax_struct_s1_ep300,s2_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_state_tauhat__lstm_s2_H50_ep80_b256_u128_do0p1,test,50,0.2140994817018509,0.46270886063575745,0.11258403956890106,0.33553546667099,0.11258403956890106,0.33553546667099,0.4964969754219055,0.35989150404930115,0.35989150404930115,0.7383829355239868,0.5074692368507385,0.5074692368507385,0.4127614200115204,0.2934771776199341,0.2934771776199341,0.32597288489341736,0.25092336535453796,0.25092336535453796,0.3305969536304474,0.26421213150024414,0.26421213150024414,0.32703280448913574,0.2637366056442261,0.2637366056442261,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_state_tauhat__lstm_s2_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.12717339396476746,0.7251546171170519,None|jax,0.13660547137260437,0.7248614228585746,0.2309136986732483,0.6872710790514377,0.1192842423915863,0.7110092256484217,0.0750495195388794,0.7697676002609292,0.06638482213020325,0.7991971147912921,0.06329619884490967,0.8064530592159221
delan_UR3_Load0_combined_26,A,,jax_struct_s1_ep300,s0_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s0_H25_ep80_b256_u128_do0p1,test,25,0.46106991171836853,0.6790212988853455,0.41038796305656433,0.6406152844429016,0.41038796305656433,0.6406152844429016,0.8661369681358337,0.866052508354187,0.8660524487495422,1.0244501829147339,0.8886355757713318,0.8886355757713318,0.7166305780410767,0.6943514943122864,0.6943514943122864,0.39648696780204773,0.4110932946205139,0.4110932946205139,0.38849830627441406,0.3691364526748657,0.3691364526748657,0.38083165884017944,0.36772510409355164,0.36772510409355164,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s0_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.03840601444244385,0.9434391608842173,None|jax,8.45193862915039e-05,0.9999024179899937,0.1358146071434021,0.867426831086128,0.022279083728790283,0.9689113409175331,-0.014606326818466187,1.036839361705726,0.01936185359954834,0.9501623217222672,0.013106554746627808,0.9655843876358816
delan_UR3_Load0_combined_26,A,,jax_struct_s1_ep300,s0_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s0_H50_ep80_b256_u128_do0p1,test,50,0.46616145968437195,0.6827601790428162,0.4460885524749756,0.6678985953330994,0.4460885226726532,0.6678985953330994,0.872140109539032,0.8724889159202576,0.8724889159202576,1.0298672914505005,0.9611297249794006,0.9611297249794006,0.7204375863075256,0.7339438199996948,0.73394376039505,0.39784443378448486,0.4136711061000824,0.4136711061000824,0.3899896740913391,0.3842034935951233,0.3842034935951233,0.3825025260448456,0.36621347069740295,0.36621347069740295,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s0_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.014861583709716797,0.978233083642119,None|jax,-0.00034880638122558594,1.000399943056638,0.06873756647109985,0.9332558990447327,-0.013506174087524414,1.0187471813578577,-0.015826672315597534,1.0397810575481645,0.00578618049621582,0.9851632469251977,0.016289055347442627,0.9574145156219626
delan_UR3_Load0_combined_26,A,,jax_struct_s1_ep300,s1_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s1_H25_ep80_b256_u128_do0p1,test,25,0.4025479853153229,0.6344667077064514,0.349519819021225,0.5912020206451416,0.349519819021225,0.5912020206451416,0.7682693600654602,0.7377005815505981,0.7377005815505981,0.6107974648475647,0.49882471561431885,0.49882471561431885,0.6356354355812073,0.5743627548217773,0.5743627548217773,0.49084097146987915,0.4670292139053345,0.4670292139053345,0.37612462043762207,0.35326215624809265,0.35326215624809265,0.8158109188079834,0.7945340275764465,0.7945340275764465,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s1_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.043264687061309814,0.9318093659827978,None|jax,0.03056877851486206,0.9602108581913804,0.11197274923324585,0.8166777767141017,0.06127268075942993,0.9036040514270512,0.023811757564544678,0.9514878362879169,0.02286246418952942,0.9392157201436884,0.021276891231536865,0.9739193350554496
delan_UR3_Load0_combined_26,A,,jax_struct_s1_ep300,s1_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s1_H50_ep80_b256_u128_do0p1,test,50,0.39694944024086,0.6300392150878906,0.3558068871498108,0.596495509147644,0.3558068871498108,0.596495509147644,0.7652004361152649,0.7478926181793213,0.7478926181793213,0.6088000535964966,0.4901999235153198,0.4901999235153198,0.6226379871368408,0.5765042901039124,0.5765042901039124,0.49038365483283997,0.4775868356227875,0.4775868356227875,0.3778064250946045,0.3656061589717865,0.3656061589717865,0.809095561504364,0.800677478313446,0.800677478313446,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s1_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.03354370594024658,0.9467593363445366,None|jax,0.017307817935943604,0.9773813276638849,0.11860013008117676,0.8051903422469422,0.04613369703292847,0.9259060674324238,0.01279681921005249,0.9739044744172507,0.012200266122817993,0.9677076266774367,0.008418083190917969,0.9895956873434504
delan_UR3_Load0_combined_26,A,,jax_struct_s1_ep300,s2_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s2_H25_ep80_b256_u128_do0p1,test,25,0.2117203027009964,0.4601307511329651,0.16155898571014404,0.40194401144981384,0.16155898571014404,0.40194401144981384,0.4954034090042114,0.4664396345615387,0.4664396345615387,0.7314524054527283,0.588803768157959,0.588803768157959,0.41204527020454407,0.3556268811225891,0.3556268811225891,0.3247774541378021,0.29060596227645874,0.29060596227645874,0.32837316393852234,0.3040821850299835,0.3040821850299835,0.326773077249527,0.3189137876033783,0.3189137578010559,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s2_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.058186739683151245,0.8735430319754115,None|jax,0.02896377444267273,0.9415349714672099,0.1426486372947693,0.8049789210735075,0.056418389081954956,0.8630772073807613,0.034171491861343384,0.8947849013963742,0.02429097890853882,0.9260262969811792,0.00785931944847107,0.9759486934645182
delan_UR3_Load0_combined_26,A,,jax_struct_s1_ep300,s2_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s2_H50_ep80_b256_u128_do0p1,test,50,0.2140994817018509,0.46270886063575745,0.1714942753314972,0.4141186773777008,0.1714942753314972,0.4141186773777008,0.4964969754219055,0.44716519117355347,0.44716519117355347,0.7383829355239868,0.6335085034370422,0.6335085034370422,0.4127614200115204,0.3517049551010132,0.3517049551010132,0.32597288489341736,0.3291236460208893,0.3291236460208893,0.3305969536304474,0.30234408378601074,0.30234405398368835,0.32703280448913574,0.3228659927845001,0.32286596298217773,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s1_ep300__feat_tau_hat__lstm_s2_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.04859018325805664,0.8949875669307603,None|jax,0.04933178424835205,0.9006403126495752,0.10487443208694458,0.8579674217247161,0.0610564649105072,0.8520780723430909,-0.003150761127471924,1.0096657153815174,0.028252899646759033,0.9145397459459318,0.004166841506958008,0.9872586436291395
delan_UR3_Load0_combined_26,A,full,jax_struct_s2_ep300,s0_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s2_ep300__feat_full__lstm_s0_H25_ep80_b256_u128_do0p1,test,25,0.5054680109024048,0.71096271276474,0.3517903983592987,0.593119204044342,0.3517903983592987,0.593119204044342,0.966310977935791,0.7841805815696716,0.7841805815696716,1.0605343580245972,0.8953431248664856,0.8953431248664856,0.7794368863105774,0.6671196222305298,0.6671196222305298,0.3784692585468292,0.3140556812286377,0.3140556812286377,0.33021700382232666,0.2759930193424225,0.2759930193424225,0.33839020133018494,0.2725851833820343,0.2725851833820343,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s2_ep300__feat_full__lstm_s0_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.11784350872039795,0.8342479758718475,full|jax,0.18213039636611938,0.8115198931557399,0.16519123315811157,0.8442377355262636,0.11231726408004761,0.8558994755666551,0.06441357731819153,0.8298049950859577,0.054223984479904175,0.8357928760413579,0.06580501794815063,0.8055350962011419
delan_UR3_Load0_combined_26,A,full,jax_struct_s2_ep300,s0_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s2_ep300__feat_full__lstm_s0_H50_ep80_b256_u128_do0p1,test,50,0.5115545392036438,0.715230405330658,0.35620322823524475,0.5968276262283325,0.35620322823524475,0.5968276262283325,0.9738426804542542,0.7978808879852295,0.7978809475898743,1.0660374164581299,0.9027925729751587,0.9027925133705139,0.7841456532478333,0.6648146510124207,0.6648146510124207,0.379089891910553,0.3109392523765564,0.310939222574234,0.3322561979293823,0.2675957977771759,0.2675957977771759,0.3398943841457367,0.2743989825248718,0.2743989825248718,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s2_ep300__feat_full__lstm_s0_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.11840277910232544,0.8344550536164822,full|jax,0.17596173286437988,0.819311952129371,0.16324490308761597,0.8468675671535141,0.1193310022354126,0.8478203612541133,0.06815066933631897,0.8202255697379575,0.06466040015220642,0.8053899353716516,0.06549540162086487,0.807306608535249
delan_UR3_Load0_combined_26,A,full,jax_struct_s2_ep300,s1_H25_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s2_ep300__feat_full__lstm_s1_H25_ep80_b256_u128_do0p1,test,25,0.3846338391304016,0.6201885342597961,0.26985597610473633,0.5194766521453857,0.26985597610473633,0.5194766521453857,0.8736943602561951,0.7412245869636536,0.7412245869636536,0.6532812714576721,0.4973691999912262,0.4973691999912262,0.6423054337501526,0.5423588752746582,0.5423588752746582,0.33417049050331116,0.24868546426296234,0.24868546426296234,0.4530750513076782,0.38203901052474976,0.38203901052474976,0.6230405569076538,0.5660325884819031,0.5660325884819031,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s2_ep300__feat_full__lstm_s1_H25_ep80_b256_u128_do0p1/metrics_test_H25.txt,jax,0.1007118821144104,0.8376108609705089,full|jax,0.1324697732925415,0.8483797317248366,0.15591207146644592,0.7613400562998569,0.09994655847549438,0.844394032459062,0.08548502624034882,0.7441873873674618,0.07103604078292847,0.8432135237243759,0.05700796842575073,0.9085003892704847
delan_UR3_Load0_combined_26,A,full,jax_struct_s2_ep300,s1_H50_ep80_b256_u128_do0p1,delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s2_ep300__feat_full__lstm_s1_H50_ep80_b256_u128_do0p1,test,50,0.3798697292804718,0.6163357496261597,0.2721453607082367,0.5216755270957947,0.2721453309059143,0.5216755270957947,0.8713817596435547,0.7330666780471802,0.7330666780471802,0.6529021859169006,0.5328294634819031,0.5328294634819031,0.6363491415977478,0.5193710327148438,0.5193710327148438,0.32852721214294434,0.2599027454853058,0.2599027454853058,0.45031294226646423,0.3764057159423828,0.3764057159423828,0.6147984862327576,0.5767149329185486,0.5767149329185486,/workspace/shared/evaluation/delan_UR3_Load0_combined_26__A__K100_tf0p3__delan_jax_struct_s2_ep300__feat_full__lstm_s1_H50_ep80_b256_u128_do0p1/metrics_test_H50.txt,jax,0.09466022253036499,0.8464145190542955,full|jax,0.1383150815963745,0.8412692484486325,0.12007272243499756,0.8160938575104112,0.11697810888290405,0.8161730703538077,0.06862446665763855,0.7911148175214795,0.07390722632408142,0.8358758556836055,0.038083553314208984,0.9380552259528647
